timestamp,symbol,direction,lot,ret
2025-12-29T01:12:45.075000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:45.075000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:45.075000,USDCHF,-1,390915.73,10014
2025-12-29T01:12:45.083000,XAUUSD,-1,495413.25,10014
2025-12-29T01:12:45.083000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:45.098000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:12:45.098000,US500.cash,-1,49541324.99,10014
2025-12-29T01:12:45.103000,JP225.cash,-1,773374762.02,10014
2025-12-29T01:12:50.105000,EURUSD,1,495413.25,10014
2025-12-29T01:12:50.109000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:50.109000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:50.113000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:50.113000,USDCHF,-1,390915.73,10014
2025-12-29T01:12:50.123000,XAUUSD,-1,495413.25,10014
2025-12-29T01:12:50.125000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:50.127000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:12:50.129000,US500.cash,-1,49541324.99,10014
2025-12-29T01:12:50.134000,JP225.cash,-1,773359899.62,10014
2025-12-29T01:12:55.137000,EURUSD,1,495413.25,10014
2025-12-29T01:12:55.137000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:55.137000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:55.137000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:55.146000,USDCHF,-1,390915.73,10014
2025-12-29T01:12:55.146000,XAUUSD,-1,495413.25,10014
2025-12-29T01:12:55.146000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:55.146000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:12:55.162000,US500.cash,-1,49541324.99,10014
2025-12-29T01:12:55.162000,JP225.cash,-1,773364853.75,10014
2025-12-29T01:13:00.166000,EURUSD,1,495413.25,10014
2025-12-29T01:13:00.166000,GBPUSD,1,495413.25,10014
2025-12-29T01:13:00.166000,AUDUSD,1,495413.25,10014
2025-12-29T01:13:00.166000,NZDUSD,1,495413.25,10014
2025-12-29T01:13:00.166000,USDCHF,-1,390915.73,10014
2025-12-29T01:13:00.166000,XAUUSD,-1,495413.25,10014
2025-12-29T01:13:00.178000,BTCUSD,-1,49541325.17,10014
